id,nome_funcionario,sexo,departamento,data_admissao,salario,cargo,localizacao,pais
30,Weaver,Masculino,Beleza,2012-02-17,83144,Account Representative III,Sudeste,Brasil
31,Willis,Feminino,Ferramentas,2012-10-21,113507,Accountant I,Nova Scotia,Canada
32,Torres,Masculino,Games,2014-04-07,78245,Nuclear Power Engineer,Quebec,Canada
33,Greene,Masculino,Filmes,2000-03-21,87057,Assistant Manager,Nordeste,Brasil
34,Reed,Masculino,Filmes,2002-11-28,120579,Assistant Media Planner,Quebec,Canada
35,Smith,Feminino,Books,2013-06-13,94884,Librarian,Nova Scotia,Canada
36,Bradley,Masculino,Outdoors,2008-12-28,107222,Payment Adjustment Coordinator,Sul,Brasil
37,Cruz,Feminino,Lar,2000-05-20,61739,Quality Engineer,Nordeste,Brasil
38,Williamson,Feminino,Jardim,2012-01-25,82026,Nurse,Sudeste,Brasil
39,Kennedy,Masculino,BebÃªs,2011-07-02,79339,Civil Engineer,Nordeste,Brasil
40,Hawkins,Feminino,Roupas,2011-08-20,76809,Quality Engineer,Quebec,Canada
41,Allen,Feminino,BebÃªs,2001-05-10,89680,Web Developer III,Quebec,Canada
42,Watkins,Masculino,Computadores,2008-04-01,125668,Executive Secretary,Nova Scotia,Canada
43,Ferguson,Masculino,Esporte,2009-05-29,82960,Account Representative III,Quebec,Canada
44,Simmons,Masculino,Filmes,2013-12-21,113857,Developer III,Sudeste,Brasil
45,Nguyen,Masculino,Automotivo,2002-01-24,108378,Electrical Engineer,Nova Scotia,Canada
46,Lawrence,Masculino,Outdoors,2011-12-11,133424,Junior Executive,Nova Scotia,Canada
47,Oliver,Feminino,Roupas,2013-08-30,42797,Software Engineer III,British Columbia,Canada
48,Johnson,Masculino,Computadores,2004-04-26,134940,Financial Advisor,Norte,Brasil
49,Crawford,Masculino,Lar,2008-12-21,119471,Editor,Quebec,Canada
50,Armstrong,Feminino,Automotivo,2010-03-16,89969,Senior Editor,Norte,Brasil
51,Dixon,Masculino,BebÃªs,2006-09-26,106281,Senior Developer,Sul,Brasil
52,Snyder,Feminino,CrianÃ§as,2002-09-26,141678,Design Engineer,Sul,Brasil
53,Coleman,Masculino,Computadores,2008-06-14,110839,Automation Specialist I,Nordeste,Brasil
54,Reed,Feminino,Brinquedos,2001-04-15,84275,VP Marketing,British Columbia,Canada
55,Ross,Masculino,Automotivo,2004-04-21,71363,Environmental Tech,Sul,Brasil
56,Watkins,Masculino,Jardim,2002-12-02,93680,VP Accounting,Sul,Brasil
57,Allen,Feminino,Outdoors,2000-11-20,73755,Geologist II,Sul,Brasil
58,Baker,Masculino,Games,2007-03-02,68857,Information Systems Manager,Sudeste,Brasil
59,Garcia,Feminino,SaÃºde,2002-03-19,48360,Registered Nurse,Quebec,Canada
60,Lane,Masculino,Outdoors,2004-07-15,104896,Financial Advisor,British Columbia,Canada
61,Watson,Feminino,Ferramentas,2009-08-10,81870,Occupational Therapist,Nova Scotia,Canada
62,Boyd,Masculino,Automotivo,2007-05-29,69936,Senior Editor,Nova Scotia,Canada
63,Young,Feminino,AlimentÃ­cios,2007-12-11,138844,Mechanical Systems Engineer,Quebec,Canada
64,Cooper,Masculino,Jardim,2011-11-12,139796,Office Assistant IV,Nordeste,Brasil
65,Jordan,Feminino,Automotivo,2000-01-27,86939,Tax Accountant,Sul,Brasil
66,Rodriguez,Masculino,Beleza,2003-09-27,141949,Product Engineer,Norte,Brasil
67,Mills,Feminino,AlimentÃ­cios,2004-08-08,114200,Senior Sales Associate,Nova Scotia,Canada
68,Coleman,Masculino,Beleza,2012-09-02,121378,Web Developer I,Nova Scotia,Canada
69,Stewart,Masculino,Brinquedos,2000-08-22,148144,Data Coordiator,Norte,Brasil
70,Jordan,Feminino,Games,2004-11-13,93839,Database Administrator III,Sudeste,Brasil
71,Vasquez,Masculino,BebÃªs,2002-10-20,77285,Operator,Quebec,Canada
72,Knight,Feminino,MÃºsica,2002-10-13,135688,Statistician I,Norte,Brasil
73,Palmer,Masculino,Esporte,2002-04-03,78828,Director of Sales,Sudeste,Brasil
74,Washington,Feminino,Lar,2000-07-11,47206,Programmer III,Sul,Brasil
75,Sanchez,Feminino,Outdoors,2013-10-06,78157,Senior Financial Analyst,Nordeste,Brasil
76,Grant,Feminino,Eletronicos,2000-07-23,49296,Software Test Engineer II,Quebec,Canada
77,Daniels,Masculino,Ferramentas,2013-02-07,139061,Environmental Specialist,Sul,Brasil
78,Medina,Feminino,Games,2005-09-16,114989,Marketing Assistant,Sul,Brasil
79,Cunningham,Masculino,Roupas,2002-09-15,88345,Junior Executive,Quebec,Canada
80,Little,Masculino,MÃºsica,2001-09-12,114647,Editor,British Columbia,Canada
81,Welch,Masculino,Outdoors,2004-07-24,118514,Accounting Assistant III,British Columbia,Canada
82,Gilbert,Feminino,Lar,2003-05-11,93712,Junior Executive,Nova Scotia,Canada
83,George,Masculino,Industrial,2009-05-02,86373,Compensation Analyst,Nova Scotia,Canada
84,Hughes,Masculino,CrianÃ§as,2013-01-28,122110,Structural Engineer,Quebec,Canada
85,Williams,Feminino,Games,2006-03-26,95542,Nurse,Sudeste,Brasil
86,Martinez,Feminino,Outdoors,2013-05-25,131392,Systems Administrator II,Sudeste,Brasil
87,Hamilton,Masculino,MÃºsica,2010-10-23,98401,VP Quality Control,Nordeste,Brasil
88,Gomez,Feminino,Ferramentas,2004-09-19,103806,Accounting Assistant I,Sul,Brasil
89,Webb,Masculino,SaÃºde,2014-04-10,73686,Tax Accountant,Sudeste,Brasil
90,Thomas,Masculino,Games,2011-11-03,55002,Research Assistant IV,Quebec,Canada
91,Wallace,Masculino,BebÃªs,2005-03-07,65216,Registered Nurse,Norte,Brasil
92,Ortiz,Feminino,Automotivo,2010-06-22,113231,Senior Editor,Nova Scotia,Canada
93,Knight,Feminino,Eletronicos,2014-04-03,125847,Chemical Engineer,British Columbia,Canada
94,Hunt,Feminino,MÃºsica,2000-05-31,140430,Senior Cost Accountant,Sudeste,Brasil
95,Franklin,Masculino,Filmes,2013-11-06,117105,VP Quality Control,British Columbia,Canada
96,Mason,Masculino,Beleza,2004-02-21,96673,Accounting Assistant I,Nordeste,Brasil
97,Williams,Feminino,Games,2013-03-14,79267,VP Quality Control,Nova Scotia,Canada
98,Freeman,Feminino,CrianÃ§as,2007-10-11,109154,Accountant I,Norte,Brasil
99,Palmer,Feminino,Books,2002-04-24,138815,Physical Therapy Assistant,Sul,Brasil
100,Bell,Masculino,Esporte,2007-08-03,68210,Registered Nurse,Norte,Brasil
101,Rivera,Masculino,Games,2002-11-16,137281,VP Sales,Sul,Brasil
102,Matthews,Masculino,SaÃºde,2008-08-09,114970,Statistician IV,Sudeste,Brasil
103,Reed,Masculino,Automotivo,2003-07-19,126001,Structural Engineer,Quebec,Canada
104,Adams,Masculino,AlimentÃ­cios,2003-09-16,78736,Financial Analyst,Quebec,Canada
105,Young,Masculino,CalÃ§ados,2009-09-16,80830,Quality Control Specialist,Norte,Brasil
106,Gardner,Masculino,CrianÃ§as,2009-08-06,47879,Product Engineer,British Columbia,Canada
107,Castillo,Feminino,Computadores,2004-03-31,132634,Civil Engineer,Sudeste,Brasil
108,Perkins,Masculino,Roupas,2005-07-14,68344,Senior Cost Accountant,Nova Scotia,Canada
109,Freeman,Feminino,Roupas,2007-10-14,147868,General Manager,Quebec,Canada
110,Howell,Masculino,Books,2011-04-15,67255,Geologist III,Norte,Brasil
111,Austin,Feminino,Computadores,2012-06-13,47494,Help Desk Operator,Quebec,Canada
112,Morris,Feminino,Filmes,2013-07-19,127645,Legal Assistant,Nordeste,Brasil
113,Moore,Masculino,BebÃªs,2000-03-01,54413,Operator,British Columbia,Canada
114,Sims,Masculino,AlimentÃ­cios,2012-12-06,136790,Nuclear Power Engineer,Sudeste,Brasil
115,Nguyen,Feminino,Roupas,2007-06-30,58420,Graphic Designer,Nordeste,Brasil
116,Wells,Masculino,Industrial,2002-01-17,73813,Occupational Therapist,Sul,Brasil
117,Martin,Masculino,Filmes,2012-10-02,49644,Senior Developer,Norte,Brasil
118,Fox,Masculino,Automotivo,2009-09-03,87134,Assistant Manager,Sul,Brasil
119,Washington,Feminino,Roupas,2008-10-06,148408,Speech Pathologist,Sul,Brasil
120,Evans,Feminino,Brinquedos,2008-01-23,77335,Chemical Engineer,Norte,Brasil
121,Elliott,Feminino,Esporte,2007-08-05,131409,Technical Writer,Nova Scotia,Canada
122,Wagner,Masculino,BebÃªs,2001-02-26,77530,Librarian,Nordeste,Brasil
123,Griffin,Feminino,Jardim,2002-04-26,101875,Business Systems Development Analyst,Norte,Brasil
124,Chavez,Feminino,AlimentÃ­cios,2005-12-07,144028,Executive Secretary,Quebec,Canada
125,Dean,Feminino,Filmes,2012-05-05,140708,Nurse,Nordeste,Brasil
126,Burton,Masculino,CalÃ§ados,2013-07-11,79172,Associate Professor,Nova Scotia,Canada
127,Harper,Feminino,Outdoors,2000-05-18,144639,VP Quality Control,Nova Scotia,Canada
128,Gibson,Masculino,Computadores,2003-03-24,109449,Engineer II,Nova Scotia,Canada
129,Grant,Feminino,Computadores,2006-10-15,108441,Nurse,Quebec,Canada
130,Nichols,Feminino,Games,2008-07-03,145692,Recruiting Manager,British Columbia,Canada
131,Kelley,Masculino,CalÃ§ados,2000-02-24,120377,Research Nurse,Norte,Brasil
132,Montgomery,Feminino,Lar,2003-05-14,63929,Research Assistant IV,British Columbia,Canada
133,Martinez,Masculino,Games,2001-02-01,124853,Systems Administrator III,Sudeste,Brasil
134,Harvey,Feminino,Outdoors,2010-06-03,99854,VP Marketing,Quebec,Canada
135,Hicks,Feminino,CrianÃ§as,2013-08-11,58675,Technical Writer,Sul,Brasil
136,Rose,Feminino,Beleza,2007-05-16,50060,Accountant IV,Nordeste,Brasil
137,Simmons,Feminino,Esporte,2014-08-09,72748,Quality Control Specialist,Sul,Brasil
138,Montgomery,Masculino,Eletronicos,2005-09-01,71082,Geologist III,Nova Scotia,Canada
139,Hart,Masculino,Joalheria,2012-01-08,119773,Pharmacist,Sul,Brasil
140,Wheeler,Masculino,Computadores,2001-01-22,82358,Information Systems Manager,Norte,Brasil
141,Williamson,Masculino,Games,2005-12-12,145575,VP Accounting,Nordeste,Brasil
142,Burton,Masculino,Industrial,2009-12-06,105810,Recruiter,British Columbia,Canada
143,Gutierrez,Masculino,Ferramentas,2014-05-06,58805,Database Administrator I,Nordeste,Brasil
144,Barnes,Feminino,BebÃªs,2008-12-08,112837,Clinical Specialist,British Columbia,Canada
145,Day,Feminino,BebÃªs,2013-04-14,125914,Junior Executive,Quebec,Canada
146,Thompson,Masculino,Filmes,2009-02-04,133281,Account Executive,Quebec,Canada
147,Hernandez,Feminino,MÃºsica,2012-10-06,96169,Civil Engineer,Nordeste,Brasil
148,Sanders,Masculino,Filmes,2013-05-09,146970,Accountant III,Sul,Brasil
149,Meyer,Feminino,Brinquedos,2008-05-03,76352,Human Resources Assistant IV,Norte,Brasil
150,Diaz,Masculino,SaÃºde,2006-10-15,128748,Web Developer III,Nordeste,Brasil
151,Larson,Masculino,Books,2011-08-09,50066,Operator,Nordeste,Brasil
152,Roberts,Masculino,MÃºsica,2011-07-22,105319,Compensation Analyst,Norte,Brasil
153,Carroll,Masculino,Lar,2003-10-30,110622,Safety Technician IV,Norte,Brasil
154,Russell,Feminino,Eletronicos,2009-10-16,87422,Help Desk Operator,Nova Scotia,Canada
155,Robinson,Masculino,Books,2007-09-06,45456,Chemical Engineer,Nordeste,Brasil
156,Hayes,Masculino,Industrial,2004-05-21,52298,Analyst Programmer,Nova Scotia,Canada
157,Henry,Masculino,CalÃ§ados,2007-05-14,131252,Account Representative III,Nordeste,Brasil
158,Chavez,Masculino,Jardim,2001-02-23,128766,Desktop Support Technician,Sudeste,Brasil
159,Harvey,Masculino,Ferramentas,2009-09-12,138179,Analog Circuit Design manager,Sul,Brasil
160,Gutierrez,Feminino,Industrial,2003-06-22,85012,Financial Analyst,Nordeste,Brasil
161,Cruz,Masculino,SaÃºde,2001-08-24,131479,Senior Cost Accountant,Nova Scotia,Canada
162,Sullivan,Feminino,SaÃºde,2005-12-28,103182,Accounting Assistant I,Sudeste,Brasil
163,Robertson,Masculino,Jardim,2000-06-07,96996,Software Test Engineer I,Norte,Brasil
164,Robertson,Feminino,Computadores,2008-08-30,106607,Automation Specialist I,Sudeste,Brasil
165,Lawson,Masculino,Automotivo,2012-12-05,130993,Administrative Officer,Sudeste,Brasil
166,Meyer,Masculino,Industrial,2006-03-05,87097,Safety Technician IV,Nova Scotia,Canada
167,Lopez,Masculino,Outdoors,2013-01-25,131961,Legal Assistant,Norte,Brasil
168,Burns,Feminino,Joalheria,2014-06-09,88093,Editor,Nova Scotia,Canada
169,Sanders,Masculino,Filmes,2010-12-24,41898,Tax Accountant,Quebec,Canada
170,Martinez,Masculino,Eletronicos,2004-06-28,52808,Human Resources Assistant I,Sudeste,Brasil
171,Harris,Feminino,Filmes,2004-09-27,110912,Geologist I,British Columbia,Canada
172,Fields,Masculino,Books,2009-09-05,101520,Project Manager,Nordeste,Brasil
173,Fox,Feminino,Books,2005-11-21,55633,Systems Administrator IV,Nordeste,Brasil
174,Reynolds,Feminino,Books,2010-10-08,91561,VP Product Management,Nova Scotia,Canada
175,Daniels,Masculino,AlimentÃ­cios,2013-11-07,77307,Biostatistician IV,Nova Scotia,Canada
176,Fisher,Masculino,Roupas,2012-10-14,67942,Financial Advisor,Quebec,Canada
177,Ferguson,Feminino,Roupas,2008-09-18,80397,Compensation Analyst,Nordeste,Brasil
178,Butler,Feminino,Esporte,2003-02-17,78157,Librarian,Nordeste,Brasil
179,Reynolds,Feminino,Jardim,2004-01-29,121836,VP Accounting,Nova Scotia,Canada
180,Williamson,Masculino,Outdoors,2008-11-08,76063,Administrative Assistant II,Quebec,Canada
181,Shaw,Feminino,Jardim,2001-05-02,56923,Social Worker,Sudeste,Brasil
182,Gomez,Feminino,Industrial,2009-04-04,76932,Legal Assistant,British Columbia,Canada
183,Harrison,Feminino,Games,2002-08-03,64410,Senior Developer,Sudeste,Brasil
184,Watson,Feminino,Books,2008-02-02,111873,Payment Adjustment Coordinator,Sudeste,Brasil
185,Watson,Feminino,Roupas,2001-09-22,74648,SaÃºde Coach III,Sudeste,Brasil
186,Larson,Feminino,Brinquedos,2011-09-17,144991,Technical Writer,Nova Scotia,Canada
187,Gordon,Feminino,Outdoors,2005-11-04,107407,Systems Administrator II,Sul,Brasil
188,Rose,Masculino,AlimentÃ­cios,2012-03-17,120225,Editor,Nova Scotia,Canada
189,Anderson,Masculino,Lar,2014-12-02,122272,Environmental Specialist,Sudeste,Brasil
190,Powell,Feminino,SaÃºde,2002-11-13,120577,Web Designer III,Nordeste,Brasil
191,Woods,Feminino,Eletronicos,2008-04-29,148986,Structural Analysis Engineer,Nordeste,Brasil
192,Morales,Masculino,Games,2000-02-10,101855,Engineer IV,Norte,Brasil
193,Stanley,Feminino,Industrial,2006-02-17,140850,Financial Analyst,Norte,Brasil
194,Wagner,Masculino,Brinquedos,2006-02-01,142516,Professor,Nordeste,Brasil
195,Meyer,Masculino,CalÃ§ados,2012-11-09,48829,Accountant I,Nordeste,Brasil
196,Jacobs,Masculino,Outdoors,2006-09-16,81270,Geological Engineer,Nordeste,Brasil
197,Hayes,Feminino,Beleza,2011-01-03,130097,Office Assistant IV,British Columbia,Canada
198,Sanders,Feminino,Industrial,2000-01-24,117905,Dental Hygienist,Norte,Brasil
199,Reed,Feminino,CalÃ§ados,2010-11-12,142483,Social Worker,Sul,Brasil
200,George,Masculino,Filmes,2004-09-20,89633,Software Consultant,Norte,Brasil
201,Andrews,Masculino,Lar,2009-03-18,48684,Nurse Practicioner,Quebec,Canada
202,Morris,Feminino,Automotivo,2004-01-23,91932,Analyst Programmer,Nordeste,Brasil
203,Moreno,Feminino,AlimentÃ­cios,2005-10-07,112004,Internal Auditor,Nova Scotia,Canada
204,Powell,Feminino,Beleza,2000-09-25,116013,Tax Accountant,Norte,Brasil
205,Graham,Feminino,Games,2008-09-10,109058,Chemical Engineer,Nova Scotia,Canada
206,Riley,Masculino,Brinquedos,2012-05-06,61992,Sales Representative,Norte,Brasil
207,Harris,Feminino,Filmes,2008-10-02,129527,Statistician II,Sudeste,Brasil
208,Gilbert,Feminino,AlimentÃ­cios,2001-12-15,67746,Director of Sales,Sudeste,Brasil
209,Peterson,Masculino,Books,2010-03-14,104530,VP Marketing,Sudeste,Brasil
210,Foster,Feminino,MÃºsica,2008-01-17,42759,Social Worker,Norte,Brasil
211,Fowler,Feminino,CrianÃ§as,2011-02-25,43097,Associate Professor,Sudeste,Brasil
212,Matthews,Feminino,Outdoors,2005-11-22,123936,Internal Auditor,Nordeste,Brasil
213,Thomas,Masculino,Ferramentas,2006-11-28,128239,Teacher,Quebec,Canada
214,West,Masculino,Computadores,2003-10-31,66084,Electrical Engineer,Quebec,Canada
215,Stevens,Masculino,Games,2009-03-14,106729,Occupational Therapist,British Columbia,Canada
216,Howard,Masculino,Joalheria,2009-03-15,87269,General Manager,Norte,Brasil
217,Boyd,Masculino,Lar,2004-12-01,128765,Senior Financial Analyst,Sudeste,Brasil
218,Ross,Masculino,Games,2003-05-25,104671,VP Marketing,Nova Scotia,Canada
219,Harrison,Masculino,CalÃ§ados,2011-05-01,55073,Assistant Professor,Norte,Brasil
220,Ellis,Feminino,Outdoors,2007-11-21,146256,Paralegal,Nordeste,Brasil
221,Diaz,Feminino,Lar,2005-01-15,55077,Registered Nurse,Nova Scotia,Canada
222,Snyder,Feminino,AlimentÃ­cios,2011-04-11,124215,Recruiting Manager,Sudeste,Brasil
223,Gibson,Masculino,Computadores,2008-04-28,105444,Human Resources Assistant II,Quebec,Canada
224,Hanson,Feminino,Esporte,2010-05-01,141513,Employee Accountant I,Nordeste,Brasil
225,Peterson,Feminino,CalÃ§ados,2008-03-13,97623,Technical Writer,Nordeste,Brasil
226,Gonzalez,Masculino,SaÃºde,2005-11-12,106833,Registered Nurse,Nova Scotia,Canada
227,Rivera,Feminino,Beleza,2006-04-18,69045,Accounting Assistant IV,Sudeste,Brasil
228,Washington,Masculino,Outdoors,2008-07-04,113311,Programmer III,Sudeste,Brasil
229,Ruiz,Feminino,Outdoors,2013-11-02,116301,Design Engineer,Sul,Brasil
230,Ford,Feminino,Industrial,2006-01-05,138459,Geological Engineer,Nordeste,Brasil
231,Day,Feminino,Roupas,2005-07-03,87800,Sales Associate,Nova Scotia,Canada
232,Peterson,Feminino,CrianÃ§as,2000-05-27,52572,Compensation Analyst,Nova Scotia,Canada
233,Gonzalez,Masculino,Eletronicos,2009-04-24,44917,Biostatistician IV,British Columbia,Canada
234,Walker,Feminino,CalÃ§ados,2010-02-02,110896,Accountant II,Sudeste,Brasil
235,Griffin,Masculino,Books,2001-12-22,108970,Senior Cost Accountant,Sudeste,Brasil
236,Tucker,Masculino,Joalheria,2009-04-27,83543,Programmer II,British Columbia,Canada
237,Armstrong,Feminino,MÃºsica,2013-07-14,63598,Budget/Accounting Analyst II,Nordeste,Brasil
238,Gonzales,Masculino,Filmes,2014-04-06,131274,Clinical Specialist,Sudeste,Brasil
239,Williamson,Feminino,Computadores,2005-02-16,149085,Software Engineer III,Nova Scotia,Canada
240,Spencer,Masculino,Games,2013-09-21,143223,funcionarios Accountant IV,Quebec,Canada
241,Rose,Feminino,Roupas,2010-12-22,107207,Web Developer II,Sul,Brasil
242,Robinson,Masculino,SaÃºde,2003-11-30,137594,Operator,Quebec,Canada
243,Gutierrez,Masculino,Lar,2006-01-26,139845,Director of Sales,Norte,Brasil
244,Alvarez,Feminino,Esporte,2012-09-07,65563,Help Desk Technician,Norte,Brasil
245,Webb,Feminino,CrianÃ§as,2014-01-02,142988,Marketing Manager,Quebec,Canada
246,Ellis,Feminino,Industrial,2000-01-22,134074,Product Engineer,Quebec,Canada
247,Romero,Masculino,Brinquedos,2010-01-21,80654,Geological Engineer,Sudeste,Brasil
248,White,Masculino,Jardim,2005-12-13,118834,Financial Analyst,Quebec,Canada
249,Miller,Masculino,CrianÃ§as,2013-03-03,85559,Pharmacist,Sudeste,Brasil
250,Fowler,Masculino,Books,2001-09-15,84049,Information Systems Manager,British Columbia,Canada
251,Duncan,Feminino,Joalheria,2011-01-16,47439,Tax Accountant,Nova Scotia,Canada
252,Johnston,Masculino,Ferramentas,2000-12-16,87072,Structural Engineer,Nova Scotia,Canada
253,Marshall,Feminino,Computadores,2003-05-12,123401,Computer Systems Analyst I,Norte,Brasil
254,Lawrence,Feminino,AlimentÃ­cios,2001-04-02,131681,Account Executive,Nova Scotia,Canada
255,Lynch,Feminino,CrianÃ§as,2014-08-29,96118,Social Worker,British Columbia,Canada
256,Stone,Feminino,Books,2006-12-01,87816,Administrative Assistant I,Sudeste,Brasil
257,Freeman,Feminino,Lar,2012-06-05,83804,Operator,Nordeste,Brasil
258,Schmidt,Masculino,Automotivo,2007-10-26,133612,VP Product Management,Norte,Brasil
259,Wallace,Feminino,Computadores,2010-04-14,47007,Internal Auditor,Sul,Brasil
260,Fuller,Masculino,SaÃºde,2005-12-13,142967,GIS Technical Architect,British Columbia,Canada
261,Bennett,Feminino,CrianÃ§as,2011-12-06,71433,Food Chemist,Norte,Brasil
262,Lewis,Feminino,Beleza,2000-03-08,74191,Business Systems Development Analyst,Nordeste,Brasil
263,Snyder,Masculino,Filmes,2005-01-29,109004,Account Coordinator,British Columbia,Canada
264,Sanders,Masculino,Industrial,2014-04-20,102211,Senior Cost Accountant,Sul,Brasil
265,Fox,Masculino,Computadores,2000-08-03,75862,Electrical Engineer,British Columbia,Canada
266,Burke,Masculino,Joalheria,2000-03-05,61446,Environmental Specialist,Sudeste,Brasil
267,Murphy,Masculino,Lar,2011-06-02,146432,VP Quality Control,Sudeste,Brasil
268,Bowman,Feminino,AlimentÃ­cios,2002-02-18,50623,Biostatistician III,Nova Scotia,Canada
269,Cunningham,Masculino,Outdoors,2014-12-11,108248,Safety Technician I,Sul,Brasil
270,Torres,Feminino,Automotivo,2005-08-06,120875,Software Consultant,Nordeste,Brasil
271,Jordan,Feminino,Esporte,2001-08-07,123843,Senior Sales Associate,Nova Scotia,Canada
272,Banks,Masculino,MÃºsica,2014-05-16,43940,SaÃºde Coach I,Sudeste,Brasil
273,Gordon,Feminino,Filmes,2013-01-06,142840,Account Coordinator,Nordeste,Brasil
274,Bennett,Masculino,Jardim,2006-08-01,125713,Account Representative III,Sul,Brasil
275,Rivera,Feminino,Books,2010-04-26,122219,Engineer I,Quebec,Canada
276,Ellis,Feminino,Eletronicos,2000-05-21,46259,Help Desk Technician,Quebec,Canada
277,Richardson,Feminino,Roupas,2003-07-14,142403,Engineer III,Sul,Brasil
278,Ortiz,Masculino,Jardim,2000-01-26,88165,Librarian,Norte,Brasil
279,Clark,Masculino,Jardim,2007-06-26,86291,Dental Hygienist,Nova Scotia,Canada
280,Chavez,Masculino,CrianÃ§as,2008-06-04,139163,Legal Assistant,British Columbia,Canada
281,Holmes,Masculino,MÃºsica,2006-11-05,48892,Accounting Assistant I,Nordeste,Brasil
282,Fowler,Feminino,Outdoors,2014-12-24,120540,Junior Executive,Quebec,Canada
283,George,Feminino,SaÃºde,2000-03-13,47450,Automation Specialist I,Nordeste,Brasil
284,Murray,Feminino,SaÃºde,2008-08-25,142255,Quality Engineer,Norte,Brasil
285,Hunter,Masculino,Jardim,2000-08-16,62441,Environmental Specialist,Sul,Brasil
286,Long,Feminino,Games,2007-03-11,142529,Librarian,Sudeste,Brasil
287,Andrews,Feminino,Beleza,2010-03-19,142103,Associate Professor,Norte,Brasil
288,Moore,Masculino,Eletronicos,2002-08-11,102395,Account Coordinator,Quebec,Canada
289,Sanders,Masculino,Lar,2009-10-09,44593,Engineer III,Sudeste,Brasil
290,Carter,Masculino,AlimentÃ­cios,2007-02-09,120800,Accountant III,British Columbia,Canada
291,Moreno,Feminino,Books,2003-11-26,121238,Senior Developer,Norte,Brasil
292,Ortiz,Feminino,Automotivo,2011-12-08,91296,Environmental Tech,Quebec,Canada
293,Castillo,Feminino,SaÃºde,2011-08-24,86070,Clinical Specialist,Sul,Brasil
294,Cooper,Feminino,Filmes,2009-01-31,61519,Human Resources Assistant III,Nova Scotia,Canada
295,Harris,Feminino,Books,2005-09-20,47131,Developer IV,Quebec,Canada
296,Edwards,Masculino,CrianÃ§as,2008-04-07,93962,funcionarios Scientist,Sul,Brasil
297,Harrison,Masculino,CalÃ§ados,2014-11-12,133845,Executive Secretary,Norte,Brasil
298,Berry,Masculino,Roupas,2010-06-17,43067,Research Assistant I,Nova Scotia,Canada
299,Stephens,Feminino,Beleza,2001-09-01,88972,Paralegal,Nova Scotia,Canada
300,Arnold,Masculino,Roupas,2005-11-15,77635,VP Product Management,Sul,Brasil
301,Myers,Masculino,AlimentÃ­cios,2011-05-16,148993,Speech Pathologist,Nordeste,Brasil
302,Jenkins,Feminino,Ferramentas,2002-08-15,113599,Geological Engineer,Sudeste,Brasil
303,West,Masculino,Eletronicos,2012-03-15,76943,General Manager,Nova Scotia,Canada
